name,type,linkid
"I Do, I Do", comedy romance ,http://www.dramacool.com/i-do-i-do-episode-1.html
I Hear Your Voice, comedy crime fantasy mystery romance ,http://www.dramacool.com/i-hear-your-voice-episode-1.html
I Love Lee Tae Ri, romance ,http://www.dramacool.com/i-love-lee-tae-ri-episode-1.html
I Love You, romance ,http://www.dramacool.com/i-love-you-episode-1.html
"I Love You, Dont Cry", romance ,http://www.dramacool.com/i-love-you-dont-cry-episode-1.html
I Need Romance, comedy romance ,http://www.dramacool.com/i-need-romance-episode-1.html
I Miss You, melodrama romance ,http://www.dramacool.com/i-miss-you-episode-1.html
I Need Romance 2012, comedy romance ,http://www.dramacool.com/i-need-romance-2012-episode-1.html
I Need Romance 3, comedy romance ,http://www.dramacool.com/i-need-romance-3-episode-1.html
I Summon You Gold, family romance ,http://www.dramacool.com/i-summon-you-gold-episode-1.html
Iljimae, historical romance ,http://www.dramacool.com/iljimae-episode-1.html
Incarnation of Money, comedy crime romance ,http://www.dramacool.com/incarnation-of-money-episode-1.html
Immortal Classic, drama ,http://www.dramacool.com/immortal-classic-episode-1.html
Innocent Man, melodrama romance ,http://www.dramacool.com/innocent-man-episode-1.html
Invincible Lee Pyung Kang, comedy romance ,http://www.dramacool.com/invincible-lee-pyung-kang-episode-1.html
Inspiring Generation, action drama family period romance ,http://www.dramacool.com/inspiring-generation-episode-1.html
IRIS, action mystery romance thriller ,http://www.dramacool.com/iris-episode-1.html
"Its Alright, Daddys Daughter", ,http://www.dramacool.com/its-alright-daddys-daughter-episode-1.html
IRIS 2, action mystery romance thriller ,http://www.dramacool.com/iris-2-episode-1.html
Its Okay Daddys Girl, drama family romance ,http://www.dramacool.com/its-okay-daddys-girl-episode-1.html
Ja Myung Go, historical period romance ,http://www.dramacool.com/ja-myung-go-episode-1.html
Jang Bori is Here!, family romance ,http://www.dramacool.com/jang-bori-is-here-episode-1.html
Jeon Woo Chi, action fantasy period romance ,http://www.dramacool.com/jeon-woo-chi-episode-1.html
Jejoongwon, historical medical ,http://www.dramacool.com/jejoongwon-episode-1.html
Jang Ok Jung, historical melodrama romance ,http://www.dramacool.com/jang-ok-jung-episode-1.html
Jeong Do Jeon, action historical political ,http://www.dramacool.com/jeong-do-jeon-episode-1.html
Jessica & Krystal, reality ,http://www.dramacool.com/jessica-krystal-episode-1.html
Jewel in the Palace, historical medical melodrama romance ,http://www.dramacool.com/jewel-in-the-palace-episode-1.html
